"Code","Description","Location","Suppl Cal Date","Suppl Cal Due","In Service","Sent 2 Cal","User","Cal Due"," "
"MR010","M7X0.75-6G","J1","2006-10-11","2007-10-11","","","ladonna.belvin","",""
"MR012","M8X1.6-6G","J2","","","","","ladonna.belvin","",""
"MR013","M12X1.0-6G","J2","2008-02-23","2009-02-23","","","ladonna.belvin","",""
"MR014","M16X1.5-6G","J2","2008-02-22","2009-02-22","","","ladonna.belvin","",""
"MR015","M18X1.5-6G","J3","2008-02-22","2009-02-22","","","ladonna.belvin","",""
"MR016","M26X1.0-6G","J4","2008-02-23","2009-02-23","","","ladonna.belvin","",""
"MR1","M2.5X0.45-6G","I1","2008-02-22","2009-02-22","","","ladonna.belvin","",""
"MR1001","M2X0.4-6G","I1","2013-02-19","2014-02-19","","","ladonna.belvin","",""
"MR1002","M2X0.4-6G","I1","2013-02-19","2014-02-19","","","ladonna.belvin","",""
"MR1003","M4X0.7-6G","I5","2013-02-19","2014-02-19","","","ladonna.belvin","",""
"MR1004","M3X0.5-6G","I3","2008-02-22","2009-02-22","","","ladonna.belvin","",""
"MR1006B","M12X1.25-6G NO GO ONLY","J2","2012-12-13","","","","ladonna.belvin","",""
"MR1007","M8X1.0-6G","J1","2014-11-17","2015-11-17","","","ladonna.belvin","",""
"MR1008","M4X0.7-6G","I4","2008-05-08","2009-05-08","","","ladonna.belvin","",""
"MR1010","M22X1.5-6G","J3","2013-02-13","2014-02-13","","","ladonna.belvin","",""
"NPT005",".250-18 NPSM-2B","J4","2009-04-23","2010-04-23","","","ladonna.belvin","",""
"NPT006",".500-14 NPT L-1","J5","2009-08-26","2010-08-26","","","ladonna.belvin","",""
"NPT007","3/8-18 NPT PIPE GAGE","G4","2019-09-26","","2022-06-23","","ladonna.belvin","2023-06-23","Unknown"
"NPT009",".0625-27 NPT L-1","J4","2017-01-10","2018-01-10","","","ladonna.belvin","",""
"NPT010",".250-18 NPT L-1","J4","","","2022-08-03","","ladonna.belvin","2023-08-03",""
"NPT011",".500-14 NPT","J4","2008-01-11","2009-01-11","","","ladonna.belvin","",""
"NPT012",".125-27 NPT L-1","H5","2021-07-26","2024-07-26","2022-08-05","","ladonna.belvin","2023-05-05",""
"NPT013",".125-27 NPT L-1","G1","","","2022-01-05","","ladonna.belvin","2023-12-15",""
"NPT014",".125-27 NPT L-1","F4","2021-02-10","2022-02-10","","","ladonna.belvin","",""
"NPT015",".750-14 NPT L-1","F4","2021-07-13","2022-07-13","","","ladonna.belvin","",""
"NPT020","1.00-11 1/2 NPT L-1","K1","2013-02-13","2014-02-13","","","ladonna.belvin","",""
"NPT021",".500-14 NPT","J5","2012-02-03","2013-02-03","","","ladonna.belvin","",""
"NPT022",".500-14 NPT","J5","2012-02-03","2013-02-03","","","ladonna.belvin","",""
"NPT023",".500-14 NPT L-1","J5","2021-07-13","2022-07-13","","","ladonna.belvin","",""
"NPT024",".750-14 NPT L-1","J5","2015-06-30","2016-06-30","","","ladonna.belvin","",""
"NPT025",".500-14 NPTF L-1","J5","2015-06-30","2016-06-30","","","ladonna.belvin","",""
"NPT026",".250-18 NPT L-1","G1","2021-09-02","2024-09-02","2022-01-03","","ladonna.belvin","2025-12-15",""
"NPTR01",".375-18 NPT L-1","J4","2008-02-23","2009-02-23","2022-06-17","","ladonna.belvin","2023-06-17",""
"NPTR02",".250-18 NPSM-2A","J4","2008-02-22","2009-02-22","","","ladonna.belvin","",""
"NPTR03",".750-14 NPT L-1","K1","2014-11-13","2015-11-13","","","ladonna.belvin","",""
"NPTR04",".750-14 NPT L-1","K1","2013-07-29","2013-07-29","","","ladonna.belvin","",""
"NPTR05",".750-14 NPT L-1","J5","","","","","ladonna.belvin","",""
"PLG001","1.2520 G0 GAGE AND 1.2550 NO GO GAGE","K4","2021-07-30","2022-07-30","","","ladonna.belvin","",""
"PLG002","1.1910 G0 GAGE AND 1.1950 NO GO GAGE","K4","2021-07-30","2022-07-30","","","ladonna.belvin","",""
"PLUG 02","GO 1.0019/ NO GO 1.0050","K4","2021-02-10","2022-02-10","","","ladonna.belvin","",""
"RG001 A&B","1.6880 GO GAGE,  1.692 NO GO GAGE","L4","2020-11-13","2021-11-13","","","ladonna.belvin","",""
"SP001",".0-80 UNF-2B GO ONLY","H1","2008-10-17","2009-10-17","","","ladonna.belvin","",""
"SP002",".073-72 UNF-2B","H1","2014-12-09","2015-12-09","","","ladonna.belvin","",""
"SP003",".086-56 UNC-2B","H3","2021-07-26","2024-07-26","","","ladonna.belvin","",""
"SP006",".112-48 UNC-2B","G5","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP009",".138-40 UNF-2B","G3","2013-03-07","2014-03-07","","","ladonna.belvin","",""
"SP010",".164-32 UNC-2B","F2","2018-06-11","2021-06-11","","","joyce.pomeroy","",""
"SP011",".164-32 UNC-2B","F2","2021-06-15","2024-06-15","2024-01-20","","ladonna.belvin","2025-01-20",""
"SP013",".190-24 UNC-2B","E1","2012-11-17","2013-11-17","2022-01-05","","joyce.pomeroy","",""
"SP014",".190-24 UNC-2B","E1","2021-04-19","2022-04-19","","","joyce.pomeroy","",""
"SP016",".190-32 UNF-2B NO GO ONLY","E1","2006-10-10","2007-10-10","","","joyce.pomeroy","",""
"SP017",".216-28 UNF-3B","E2","2006-10-10","2007-10-10","","","joyce.pomeroy","",""
"SP018",".250-20 UNC-24  2STR","E2","2008-02-21","2009-02-21","","","joyce.pomeroy","",""
"SP019",".250-20 UNC-2B","E3","2013-09-22","2014-09-11","2022-06-21","","joyce.pomeroy","2023-06-21",""
"SP020",".250-28 UNF-3B","F2","2021-07-26","2024-07-26","","","joyce.pomeroy","",""
"SP021",".250-28 UNF-2B","E3","2022-11-08","2023-11-08","","","joyce.pomeroy","",""
"SP022",".250-28 UNF-2B","E3","2016-08-12","2017-08-12","","","joyce.pomeroy","",""
"SP023",".250-32 UNEF-2B","E3","2012-11-17","2013-11-17","","","joyce.pomeroy","",""
"SP024",".3125-18 UNC-2B","B1","2022-04-01","2025-04-01","","","ladonna.belvin","",""
"SP025",".3125-24 UNF-2B","E4","2022-11-08","2023-11-08","2022-12-06","","joyce.pomeroy","2023-12-06",""
"SP026",".3125-24 UNF-3B","E4","2013-09-11","2014-09-11","","","joyce.pomeroy","",""
"SP027",".375-16 UNC-2B","E5","2012-11-16","2013-11-16","","","joyce.pomeroy","",""
"SP028",".375-24 UNF-2B","E5","2022-04-05","2025-04-05","2022-05-24","","joyce.pomeroy","2023-05-24",""
"SP029",".375-24 UNJF-3B","E5","2019-07-22","2020-07-22","","","joyce.pomeroy","",""
"SP034",".4375-20 UNF-2B","D1","2022-12-09","","","","ladonna.belvin","",""
"SP035",".4375-20 UNJF-3B","F3","2020-02-19","2023-02-19","","","ladonna.belvin","",""
"SP036",".4375-24 UNS-2B","D1","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP038",".500-13 UNC-2B","D2","2009-08-26","2010-08-26","","","joyce.pomeroy","",""
"SP040",".500-28 UNEF-2B","D3","2021-06-15","2024-06-15","2022-09-27","","ladonna.belvin","2023-09-27",""
"SP041",".500-32 UN-2B","D4","2008-02-21","2009-02-21","","","joyce.pomeroy","",""
"SP042",".5625-18 UNJF-3B","D3","2018-02-14","2023-02-14","","","ladonna.belvin","",""
"SP043",".5625-24 UNEF-2B","D3","2022-02-14","2025-02-14","","","ladonna.belvin","",""
"SP044",".5625-32 UN-3B","D4","2008-02-21","2009-02-21","","","joyce.pomeroy","",""
"SP045",".625-18 UNF-2B","C1","2009-02-03","2010-02-03","","","ladonna.belvin","",""
"SP047",".625-18 UNF-2B","C1","2013-09-11","2014-09-11","","","ladonna.belvin","",""
"SP048",".625-24 UNEF-2B","G1","2021-02-10","2022-02-10","","","ladonna.belvin","",""
"SP049",".750-16 UNF-2B","C2","2022-04-05","2025-04-05","","","ladonna.belvin","",""
"SP050",".750-16 UNJF-3B","F2","2021-03-04","2024-03-04","","","joyce.pomeroy","",""
"SP051",".750-20 UNEF-2B","C3","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP052",".6875-24 UNEF-2B","C2","2006-10-11","2007-10-11","","","ladonna.belvin","",""
"SP053",".875-20 UNEF-2B","C4","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP054","1.000-12 UNF-2B","B2","2022-04-27","","","","ladonna.belvin","",""
"SP055","1.000-12 UNF-3B","B2","2008-02-22","2009-02-22","","","ladonna.belvin","",""
"SP056","1.000-20 UNEF-2B","C5","2012-11-16","2013-11-16","","","ladonna.belvin","",""
"SP057","1.125-16 UN-2B","B5","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP058","1.125-18 UNEF-2B","B5","2006-10-11","2007-10-11","","","ladonna.belvin","",""
"SP061","1.750-5 UNC-2B","I3","2018-06-11","2021-06-11","","","ladonna.belvin","",""
"SP062",".750-16 UNF-2B  LH","C2","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP063","1.625-18 UNEF-3B","B3","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP065","1.3125-32 UNS-2B","B5","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP066","2.250-16 UN-2B","B3","2008-02-22","2009-02-22","","","joyce.pomeroy","",""
"SP070",".190-32 UNF-2B","QC OFFICE","","","2020-01-06","","joshua.smith","",""
"SP071","1.0625-12 UN-2B","A1","2020-06-13","","","","ladonna.belvin","",""
"SP072","1.000-16 UN-2B","H3","2018-08-02","2019-08-02","","","ladonna.belvin","",""
"SP074",".138-32 UNC-2B","F2","2006-08-01","","","","ladonna.belvin","",""
"SP075",".164-32 UNC-2B","G2","2015-07-02","2016-07-02","","","ladonna.belvin","",""
"SP076",".190-32 UNF-2B","E1","2022-04-01","2025-04-01","2022-05-16","","joyce.pomeroy","2023-05-16",""
"SP077",".500-20 UNF-2B","D4","2012-11-16","2013-11-16","","","joyce.pomeroy","",""
"SP078",".500-20 UNF-2B","D4","2012-11-16","2013-11-16","","","joyce.pomeroy","",""
"SP082",".190-32 UNF-2B","E2","2012-11-17","2013-11-17","","","joyce.pomeroy","",""
"SP083",".190-32 UNF-2B","E1","2012-11-17","2013-11-17","","","joyce.pomeroy","",""
"SP084",".112-40 UNC-2B NO GO ONLY","G5","2012-11-17","2013-11-17","","","ladonna.belvin","",""
"SP089",".138-56 UNS-2B","G3","2009-08-17","2010-08-17","","","ladonna.belvin","",""
"SP090",".138-40 UNF-2B","G1","","","","","ladonna.belvin","",""
"SP092",".3125-18 UNC-2B","E3","2020-01-23","2023-01-23","","","joyce.pomeroy","",""
"SP093",".138-32 UNC-2B","QC OFFICE","2015-07-02","","","","joshua.smith","",""
"SP096",".138-40 UNF-2B","H4","2018-06-11","2021-06-11","","","ladonna.belvin","",""
"SP097",".190-32 UNF-2B","E2","","","","","joyce.pomeroy","",""
"SP098",".112-40 UNC-2B","G5","2021-09-30","2024-09-30","2021-12-03","","ladonna.belvin","2023-12-15",""
"SP099",".3125-18 UNC-2B","F3","2021-02-10","2024-02-10","","","ladonna.belvin","",""
"SP100","1.625-18 UNEF-2B","A3","2008-02-21","","","","ladonna.belvin","",""
"SP101",".138-32 UNC-2B","G4","2022-02-14","2025-02-14","2022-10-18","","ladonna.belvin","2023-10-18",""
"SP103",".0-80 UNF-2B","H1","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP104A",".0-80 UNF-2B GO ONLY","H2","2008-02-22","2009-02-22","","","ladonna.belvin","",""
"SP105",".0-80 UNF-2B","H2","2008-02-21","2009-02-21","","","ladonna.belvin","",""
"SP106",".086-56 UNC-2B","H3","2023-04-10","2026-04-10","2022-03-15","","ladonna.belvin","2026-04-10",""
"SP107","1.3125-12 UN-2B","A3","","","","","ladonna.belvin","",""
"SP110",".086-56 UNC-2B","F2","2020-11-25","2021-11-25","","","ladonna.belvin","",""
"SP111",".138-32 UNC-2B","G4","2013-03-11","2014-03-11","","","ladonna.belvin","",""
"SP112B",".164-32 UNC-2B NO GO ONLY","K2","2011-11-17","2013-11-17","","","ladonna.belvin","",""
"SP113","2.00-16 UN-2A","F1","2013-03-05","2014-03-05","","","joyce.pomeroy","",""
"SP117",".138-56 UNS-2B","G3","2012-11-17","2013-11-17","","","ladonna.belvin","",""
"SP118",".138-32 UNF-2B","G4","2017-06-28","2018-06-28","","","ladonna.belvin","",""
"SP119",".375-16 UNC-2B","E5","2009-08-26","2010-08-26","","","joyce.pomeroy","",""
"SP120","1.750-5 UNS-2B","A3","2014-02-11","2014-02-11","","","ladonna.belvin","",""
"SP121","2.500-12 UN-2B","L1","2019-11-26","","","","ladonna.belvin","",""
"SP123",".138-64 UNS-3B","G3","2021-07-13","2022-07-12","","","ladonna.belvin","",""
"SP124",".190-32 UNF-2B","B1","2019-05-03","","","","ladonna.belvin","",""
"SP140",".4375-24 UNJS-3B","D2","2016-06-30","2017-06-30","","","joyce.pomeroy","",""
"SP142",".5625-18 UNJF-3B","F3","2018-10-13","2021-10-13","","","ladonna.belvin","",""
"SP143",".5625-20 UNJ-3B","B2","2020-02-19","","","","ladonna.belvin","",""
"SP144",".5625-24 UNJEF-3B","F1","2021-05-06","2024-05-06","","","joyce.pomeroy","",""
"SP145",".6875-16 UN-2B","A3","2013-03-04","2014-03-04","","","ladonna.belvin","",""
"SP146",".7187-20 UNJS-3B","C2","2016-06-30","2017-06-30","","","ladonna.belvin","",""
"SP147",".750-16 UNJF-3B","B1","2020-03-19","","","","ladonna.belvin","",""
"SP148",".750-20 UNJF-3B","C3","2013-03-04","2014-03-04","","","ladonna.belvin","",""
"SP149",".750-20 UNJEF-3B","C3","2019-11-26","","","","ladonna.belvin","",""
"SP150",".875-14 UNJF-3B","C5","2020-01-23","","","","ladonna.belvin","",""
"SP151",".875-20 UNJEF-3B","C5","2013-03-04","2014-03-04","","","ladonna.belvin","",""
"SP152","1.000-16 UNJ-3B","B2","2015-07-02","2016-07-22","","","joyce.pomeroy","",""
"SP153","1.0625-12 UNJ-3B","G1","2021-02-10","2022-02-10","","","ladonna.belvin","",""
"SP154","1.0625-18 UNJEF-3B","A1","2016-06-30","2017-06-30","","","ladonna.belvin","",""
"SP155","1.0625-18 UNJEF-3B","B4","2020-01-23","","","","ladonna.belvin","",""
"SP156","1.250-12 UN-2B","B3","2013-03-04","2014-03-04","","","ladonna.belvin","",""
"SP157","1.1875-12 UN-2A","B5","2014-12-09","2015-12-09","","","ladonna.belvin","",""
"SP170",".5625-18 UNJF-3B","H2","2020-01-23","2023-01-23","","","ladonna.belvin","",""
"SP171",".875-14 UNJF-3B","F4","2020-07-16","2021-07-16","","","ladonna.belvin","",""
"SP172",".112-40 UNC-3B","H5","2020-01-27","2021-01-26","","","ladonna.belvin","",""
"SP173",".112-40  UNC-2B","F2","2021-09-30","2024-09-30","","","ladonna.belvin","",""
"SP176",".4375-28 UNJEF-3B NO GO ONLY","H4","2019-04-26","2020-04-26","","","ladonna.belvin","",""
"SP177",".500-24 UNS-3B","D2","2013-03-05","2014-03-05","","","ladonna.belvin","",""
"SP178",".190-32 UNF-2B","E2","2019-03-21","2020-03-21","","","joyce.pomeroy","",""
"SP180",".750-20 UNEF-2B","C3","2014-04-09","2015-04-09","","","ladonna.belvin","",""
"SP181",".4375-20 UNJF-3B","D1","","","","","ladonna.belvin","",""
"SP182",".500-24 UNS-3B","D3","2016-06-30","2017-06-30","","","ladonna.belvin","",""
"SP183",".138-64 UNS-2B","G3","2017-06-29","2018-06-29","","","ladonna.belvin","",""
"SP184",".190-24 UNC-2B","E1","2008-10-17","2009-10-17","","","joyce.pomeroy","",""
"SP185","1.0625-12 UNJ-3B","A1","2014-04-09","2015-04-09","","","ladonna.belvin","",""
"SP186",".164-32 UNC-2B","G2","2011-04-19","2012-04-19","","","ladonna.belvin","",""
"SP187",".625-18 UNF-2B","C1","2014-08-22","2015-08-22","2022-06-16","","ladonna.belvin","2023-06-16",""
"SP189","1.0625-18 UNJEF-3B","B4","2021-02-10","2022-02-10","","","ladonna.belvin","",""
"SP190","1.3125-12 UNJ-3B","G1","2019-11-26","","","","ladonna.belvin","",""
"SP1904",".5625-18 UNF-3B","K2","","","2022-07-13","","ladonna.belvin","2023-07-13","james.dickson"
"SP191",".164-32 UNC-2B","G2","2013-02-20","2014-02-20","","","ladonna.belvin","",""
"SP193",".073-72 UNF-2B","I2","2021-07-13","2022-07-13","","","ladonna.belvin","",""
"SP194","1.0625-18 UNJEF-3B GO ONLY","QC OFFICE","","","","","joshua.smith","",""
"SP195",".138-64 UNS-2B","F2","2021-09-30","2024-09-30","","","ladonna.belvin","",""
"SP196",".500-20 UNF GO ONLY","D3","","","","","ladonna.belvin","",""
"SP197","1.000-16 UNJ-3B","H4","2018-06-11","2021-06-11","","","ladonna.belvin","",""
"SP198","1.625-16 UNJ-3B","B2","2016-06-29","2017-06-29","","","joyce.pomeroy","",""
"SP199","1.3125-12 UNJ-3B","B3","2019-03-21","","","","ladonna.belvin","",""
"SP200",".750-20 UNJEF-3B","F3","2018-04-18","2021-04-18","","","ladonna.belvin","",""
"SP201",".5625-24 UNJEF-3B","F3","2020-03-19","2023-03-19","","","ladonna.belvin","",""
"SP202","1.000-14 UNS-2B","B2","2014-04-09","2015-04-09","","","joyce.pomeroy","",""
"SP20201",".138-32 UNC-3B","H5","2021-02-10","2022-02-10","","","ladonna.belvin","",""
"SP20202",".250-40 UNS-2B","H2","2021-02-10","2022-02-10","","","ladonna.belvin","",""
"SP20204",".086-56 UNC-3B","H5","2020-01-20","2021-01-19","","","ladonna.belvin","",""
"SP203",".625-24 UNEF-2B","C1","2022-02-14","2025-02-14","","","ladonna.belvin","2026-04-10",""
"SP204",".625-24 UNEF-3B","C2","2021-05-06","2024-05-06","","","ladonna.belvin","",""
"SP205",".112-40 UNC-2B","G5","2020-11-25","2021-11-25","","","ladonna.belvin","",""
"SP206",".3125-40 UNS-2B","E4","2014-12-09","2015-12-09","","","joyce.pomeroy","",""
"SP207","1.125-12 UNF-2B","A1","2014-12-09","2015-12-09","","","ladonna.belvin","",""
"SP208",".750-24 UNS-3B","C3","2014-12-17","2015-12-17","","","ladonna.belvin","",""
"SP209","1.0625-18 UNJEF-3B","F4","2021-02-10","2024-02-10","","","ladonna.belvin","",""
"SP211",".4375-28 UNJEF-3B","F3","2019-04-26","2020-04-26","","","ladonna.belvin","",""
"SP212",".8125-16 UN-2B","C4","2015-08-20","2016-08-20","","","ladonna.belvin","",""
"SP213",".4375-24 UNJS-3B","D1","2019-10-03","","","","ladonna.belvin","",""
"SP214","2.500-12 UNJ-3B","C5","2021-03-04","2022-03-04","","","ladonna.belvin","",""
"SP215",".844-18 UNJS","C4","2016-11-08","2017-11-08","","","ladonna.belvin","",""
"SP216",".190-32 UNF-2B  GO ONLY","E2","2013-03-07","2014-03-07","","","ladonna.belvin","",""
"SP218",".500-20 UNJF-3B","G1","2018-02-16","2019-02-16","","","ladonna.belvin","",""
"SP219","1.0625-20 UN-2B","K2","2019-03-21","","","","ladonna.belvin","",""
"SP220",".625-18 UNJF-3B","F3","2018-06-11","2021-06-11","","","ladonna.belvin","",""
"SP221","1.375-18 UNJEF-3B","I2","2018-10-13","","","","ladonna.belvin","",""
"SP222",".625-18 UNJF-3B","C1","2019-10-03","","","","ladonna.belvin","",""
"SP223","1.0625-20 UN-2B  LH","QC OFFICE","","","","","joshua.smith","",""
"SP224",".164-32 UNC-2B","K2","2012-09-19","2012-09-19","","","ladonna.belvin","",""
"SP225",".4375-20 UNF-2B GO ONLY","K2","2013-02-11","2014-02-11","","","ladonna.belvin","",""
"SP226",".250-28 UNF-2B","K2","2018-03-20","2019-03-20","","","ladonna.belvin","",""
"SP228",".4375-20 UNF-2B","H2","2020-11-25","2021-11-25","2022-08-05","","ladonna.belvin","2023-08-05",""
"SP230",".875-14 UNJF-3B","K3","2018-06-19","2019-06-19","","","ladonna.belvin","",""
"SP231",".875-14 UNJF-3B","K3","2018-06-19","2019-06-19","","","ladonna.belvin","",""
"SP232",".875-14 UNJF-3B","K3","2018-07-21","2019-07-21","","","ladonna.belvin","",""
"SP233",".250-28 UNF-3B LH","G5","2022-11-08","2023-11-08","","","ladonna.belvin","",""
"SP234",".875-14 UNJF-3BG","B2","2018-03-23","2020-03-12","","","joyce.pomeroy","",""
"SP905",".4375-28 UNJEF 3B","F1","2020-04-21","2023-04-21","2022-08-01","","joyce.pomeroy","2023-08-01","james.dickson"
"SP908","1.0625-20UN2B-LH","K2","2020-11-25","2021-11-25","","","ladonna.belvin","",""
"SP909","1.0625-20UN2B-LH","H5","2020-11-25","2021-11-25","","","ladonna.belvin","",""
"SP947",".750-16 UNJF-3B","G1","2020-11-24","2021-11-24","","","ladonna.belvin","",""
"SPL010",".138-32 SPL","K4","2021-02-17","2022-02-17","","","ladonna.belvin","",""
"SPL011",".250-20 SPL","G4","2022-06-25","2023-06-25","","","ladonna.belvin","",""
"SR003",".086-56 UNC-2A","I2","2021-06-15","2024-06-15","","","ladonna.belvin","",""
"SR004",".112-40 UNC-2A","I1","2018-04-18","2021-04-18","","","ladonna.belvin","",""
"SR006","4-40 UNC-2A STANDARD RING","E2","2021-02-10","2022-02-10","","","joyce.pomeroy","",""
"SR008",".250-20 UNC-2A","E3","2020-03-19","2023-03-19","","","ladonna.belvin","",""
"SR009",".250-20 UNC-2A DOUBLE LEAD","E3","2008-02-23","2009-02-23","","","joyce.pomeroy","",""
"SR011",".500-20 UNF-2A NO GO ONLY","D3","2012-06-18","2013-06-18","","","ladonna.belvin","",""
"SR013",".3125-24 UNF-3A","E4","2014-08-21","2015-08-21","","","ladonna.belvin","",""
"SR014",".375-24 UNF-2A","H3","2018-06-14","2021-06-14","","","ladonna.belvin","",""
"SR017",".4375-20 UNF-2A","E5","2014-04-08","2015-04-08","","","ladonna.belvin","",""
"SR018",".500-20 UNF-3A","B1","2017-10-12","2018-10-12","","","ladonna.belvin","",""
"SR019",".500-20 UNF-2A","D2","2023-04-10","2026-04-10","","","joyce.pomeroy","",""
"SR020",".500-20 UNF-2A","D2","2021-12-14","2024-12-14","","","joyce.pomeroy","",""
"SR021",".500-20 UNRF-3A","D4","2008-02-22","2009-02-22","","","joyce.pomeroy","",""
"SR022",".5625-18 UNF-2A NO GO ONLY","D5","2006-10-10","","","","joyce.pomeroy","",""
"SR023",".5625-24 UNEF-2A","D5","","2009-02-22","","","joyce.pomeroy","",""
"SR024",".5625-32 UN-3A","D5","2006-10-11","2007-10-11","","","joyce.pomeroy","",""
"SR025",".625-11 UNC-2A","C1","2013-09-10","2014-09-10","2025-09-15","","joshua.smith","2026-09-15",""
"SR026",".625-18 UNF-2A NO GO ONLY","D5","2006-10-10","2007-10-10","","","joyce.pomeroy","",""
